"id","value","relationship","x","y"
"A001800",0.974884350310959,"A001800->A009150",2.39219416913154,-8.8301967086893
"A011170",0.958043999908934,"A011170->A097950",6.00129351758325,-5.76428504888835
"A021240",0.969059103954299,"A005930->A021240",6.00129351758325,-5.76428504888835
"A001040",0.960753573391968,"A005930->A001040",6.00129351758325,-5.76428504888835
"A000270",0.839969616095586,"A005380->A000270",-25.8520062576909,3.38918024928057
"A002380",0.913793920336257,"A005380->A002380",-25.8520062576909,3.38918024928057
"A030200",0.9464534969865,"A000660->A030200",-25.8520062576909,3.38918024928057
"A032640",0.936407792466326,"A000660->A032640",-1.25950634980465,4.88764294271066
"A000270",0.948736218943063,"A015760->A000270",-35.0115897862242,0.905702184593949
"A002790",1.07528536057363,"A015760->A002790",-35.0115897862242,0.905702184593949
"A018260",0.997582451353561,"A035420->A018260",1.43531778744763,-10.0088532001445
"A004020",0.993131704890659,"A035420->A004020",12.5695123619818,-5.63022596546164
"A018880",0.923319216535209,"A035420->A018880",12.5695123619818,-5.63022596546164
"A030200",0.9514210719508,"A012330->A030200",12.5695123619818,-5.63022596546164
"A035250",0.960897831304889,"A012330->A035250",12.5695123619818,-5.63022596546164
"A000810",0.974871307071652,"A005490->A000810",14.9455591596892,-8.45228226305347
"A006400",1.06453186082805,"A032830->A006400",-38.4757489734484,-0.567240846323877
"A030200",1.02643841539112,"A017670->A030200",-38.8880312739874,0.759493203449056
"A003550",0.982788941481158,"A000270->A003550",-23.7699320716957,6.60312155871209
"A004020",0.783937113355054,"A000270->A004020",3.3530586014518,-15.5437800702838
"A011210",0.719385520294737,"A000270->A011210",17.5411601269678,-4.31557549196571
"A105560",0.601268271293702,"A055550->A105560",17.5411601269678,-4.31557549196571
"A086790",0.530865823215273,"A055550->A086790",2.65409869634019,-5.58175686208691
"A021240",0.93133839835401,"A055550->A021240",2.65409869634019,-5.58175686208691
"A028260",0.719693410284727,"A018260->A028260",2.65409869634019,-5.58175686208691
"A051900",0.987677649164236,"A018260->A051900",9.37001120368087,-5.71122114653033
"A097950",1.00034709423104,"A090430->A097950",9.37001120368087,-5.71122114653033
"A024110",0.995172250462443,"A105560->A024110",2.51815379817568,-11.7873203754016
"A035250",0.843935413181041,"A000810->A035250",2.51815379817568,-11.7873203754016
"A161390",1.00244877670872,"A000810->A161390",2.51815379817568,-11.7873203754016
"A001800",0.99445898280208,"A034220->A001800",-9.78004767325008,4.50971282072578
"A003550",0.876662575241641,"A051910->A003550",-9.78004767325008,4.50971282072578
"A096770",0.744097664678743,"A051910->A096770",-9.78004767325008,4.50971282072578
"A139480",1.00019609377167,"A051910->A139480",-9.78004767325008,4.50971282072578
"A011170",0.653998856374552,"A051910->A011170",-28.9878891218247,2.42013561947683
"A009540",1.20900361877039,"A034730->A009540",-28.9878891218247,2.42013561947683
"A006400",1.01590375744195,"A033780->A006400",-28.9878891218247,2.42013561947683
"A139480",0.891900182510404,"A066570->A139480",-8.55372511235113,8.19474842891742
"A086280",0.98431057871975,"A051900->A086280",1.80966405771003,-13.1919850283743
"A009540",1.05113024962005,"A051900->A009540",-30.6944359841015,2.311260189561
"A030200",0.839786184037931,"A035720->A030200",6.7972409355087,-6.58853376808157
"A018880",0.82065370133425,"A035720->A018880",-16.1497057928479,7.34236605658423
"A096770",1.05539485332448,"A010130->A096770",-10.7188937419864,6.35701585805525
"A011210",1.00019957238287,"A023530->A011210",-10.7188937419864,6.35701585805525
"A024110",1.01492750742147,"A006400->A024110",-15.3869976457953,6.05389486637517
"A018880",1.19094418003546,"A088350->A018880",-15.3869976457953,6.05389486637517
"A009150",0.919772706206282,"A021240->A009150",-32.5114132430889,1.49569566309879
"A011170",0.760945399789138,"A010950->A011170",-32.5114132430889,1.49569566309879
"A009150",0.871166676867609,"A010950->A009150",-9.02608196401348,6.42844539859843
"A009150",0.974884350310959,"A001800->A009150",-9.02608196401348,6.42844539859843
"A097950",0.958043999908934,"A011170->A097950",21.4055947626749,-3.0716543994037
